OID_,Join_Count,TARGET_FID,FID_1,STATEFP10,PLACEFP10,PLACENS10,GEOID10,NAME10,NAMELSAD10,STATEFP,COUNTYFP,COUNTYNS,GEOID,COUNTY_NAME
1,1,0,1,06,78106,02412042,0678106,Tehama,Tehama city,06,103,01692767,06103,Tehama
2,1,1,2,06,59892,02411527,0659892,Red Bluff,Red Bluff city,06,103,01692767,06103,Tehama
3,1,2,3,06,16322,02410231,0616322,Corning,Corning city,06,103,01692767,06103,Tehama
4,1,3,4,06,85586,02412268,0685586,Williams,Williams city,06,011,01675902,06011,Colusa
5,1,4,5,06,14946,02410204,0614946,Colusa,Colusa city,06,011,01675902,06011,Colusa
6,1,5,6,06,86832,02412321,0686832,Yorba Linda,Yorba Linda city,06,059,00277294,06059,Orange
7,1,6,7,06,84550,02412236,0684550,Westminster,Westminster city,06,059,00277294,06059,Orange
8,1,7,8,06,82744,02412158,0682744,Villa Park,Villa Park city,06,059,00277294,06059,Orange
9,1,8,9,06,80854,02412117,0680854,Tustin,Tustin city,06,059,00277294,06059,Orange
10,1,9,10,06,73962,02411969,0673962,Stanton,Stanton city,06,059,00277294,06059,Orange
11,1,10,11,06,75154,02583153,0675154,Stonyford,Stonyford CDP,06,011,01675902,06011,Colusa
12,1,11,12,06,70686,02411851,0670686,Seal Beach,Seal Beach city,06,059,00277294,06059,Orange
13,1,12,13,06,16580,02407666,0616580,Coto de Caza,Coto de Caza CDP,06,059,00277294,06059,Orange
14,1,13,14,06,69000,02411814,0669000,Santa Ana,Santa Ana city,06,059,00277294,06059,Orange
15,1,14,15,06,40526,02408577,0640526,Las Flores,Las Flores CDP,06,059,00277294,06059,Orange
16,1,15,16,06,68028,02411793,0668028,San Juan Capistrano,San Juan Capistrano city,06,059,00277294,06059,Orange
17,1,16,17,06,52379,02408951,0652379,North Tustin,North Tustin CDP,06,059,00277294,06059,Orange
18,1,17,18,06,63050,02409214,0663050,Rossmoor,Rossmoor CDP,06,059,00277294,06059,Orange
19,1,18,19,06,65084,02411781,0665084,San Clemente,San Clemente city,06,059,00277294,06059,Orange
20,1,19,20,06,39114,02583048,0639114,Ladera Ranch,Ladera Ranch CDP,06,059,00277294,06059,Orange
21,1,20,21,06,47430,02583081,0647430,Midway City,Midway City CDP,06,059,00277294,06059,Orange
22,1,21,22,06,59587,02411517,0659587,Rancho Santa Margarita,Rancho Santa Margarita city,06,059,00277294,06059,Orange
23,1,22,23,06,77126,02583156,0677126,Sunset Beach,Sunset Beach CDP,06,059,00277294,06059,Orange
24,1,23,24,06,57526,02411432,0657526,Placentia,Placentia city,06,059,00277294,06059,Orange
25,1,24,25,06,36868,02408433,0636868,Isla Vista,Isla Vista CDP,06,083,00277306,06083,Santa Barbara
26,1,25,26,06,43252,02408131,0643252,Los Alamos,Los Alamos CDP,06,083,00277306,06083,Santa Barbara
27,1,26,27,06,68000,02411790,0668000,San Jose,San Jose city,06,085,00277307,06085,Santa Clara
28,1,27,28,06,53980,02411325,0653980,Orange,Orange city,06,059,00277294,06059,Orange
29,1,28,29,06,48147,02408843,0648147,Mission Canyon,Mission Canyon CDP,06,083,00277306,06083,Santa Barbara
30,1,29,30,06,48186,02408845,0648186,Mission Hills,Mission Hills CDP,06,083,00277306,06083,Santa Barbara
31,1,30,31,06,48844,02408861,0648844,Montecito,Montecito CDP,06,083,00277306,06083,Santa Barbara
32,1,31,32,06,51182,02411250,0651182,Newport Beach,Newport Beach city,06,059,00277294,06059,Orange
33,1,32,33,06,55282,02411362,0655282,Palo Alto,Palo Alto city,06,085,00277307,06085,Santa Clara
34,1,33,34,06,48256,02411123,0648256,Mission Viejo,Mission Viejo city,06,059,00277294,06059,Orange
35,1,34,35,06,49670,02411186,0649670,Mountain View,Mountain View city,06,085,00277307,06085,Santa Clara
36,1,35,36,06,49278,02411162,0649278,Morgan Hill,Morgan Hill city,06,085,00277307,06085,Santa Clara
37,1,36,37,06,43224,02410875,0643224,Los Alamitos,Los Alamitos city,06,059,00277294,06059,Orange
38,1,37,38,06,54120,02408999,0654120,Orcutt,Orcutt CDP,06,083,00277306,06083,Santa Barbara
39,1,38,39,06,48956,02411142,0648956,Monte Sereno,Monte Sereno city,06,085,00277307,06085,Santa Clara
40,1,39,40,06,70182,02409284,0670182,Santa Ynez,Santa Ynez CDP,06,083,00277306,06083,Santa Barbara
41,1,40,41,06,47766,02411113,0647766,Milpitas,Milpitas city,06,085,00277307,06085,Santa Clara
42,1,41,42,06,75714,02410016,0675714,Summerland,Summerland CDP,06,083,00277306,06083,Santa Barbara
43,1,42,43,06,40256,02411578,0640256,La Palma,La Palma city,06,059,00277294,06059,Orange
44,1,43,44,06,39496,02411602,0639496,Lake Forest,Lake Forest city,06,059,00277294,06059,Orange
45,1,44,45,06,79529,02409337,0679529,Toro Canyon,Toro Canyon CDP,06,083,00277306,06083,Santa Barbara
46,1,45,46,06,39290,02411571,0639290,La Habra,La Habra city,06,059,00277294,06059,Orange
47,1,46,47,06,44112,02412917,0644112,Los Gatos,Los Gatos town,06,085,00277307,06085,Santa Clara
48,1,47,48,06,39259,02411598,0639259,Laguna Woods,Laguna Woods city,06,059,00277294,06059,Orange
49,1,48,49,06,82072,02409501,0682072,Vandenberg AFB,Vandenberg AFB CDP,06,083,00277306,06083,Santa Barbara
50,1,49,50,06,43294,02412916,0643294,Los Altos Hills,Los Altos Hills town,06,085,00277307,06085,Santa Clara
51,1,50,51,06,39248,02411597,0639248,Laguna Niguel,Laguna Niguel city,06,059,00277294,06059,Orange
52,1,51,52,06,82086,02409502,0682086,Vandenberg Village,Vandenberg Village CDP,06,083,00277306,06083,Santa Barbara
53,1,52,53,06,43280,02410876,0643280,Los Altos,Los Altos city,06,085,00277307,06085,Santa Clara
54,1,53,54,06,39220,02411596,0639220,Laguna Hills,Laguna Hills city,06,059,00277294,06059,Orange
55,1,54,55,06,03694,02582938,0603694,Ballard,Ballard CDP,06,083,00277306,06083,Santa Barbara
56,1,55,56,06,29504,02410591,0629504,Gilroy,Gilroy city,06,085,00277307,06085,Santa Clara
57,1,56,57,06,39178,02411595,0639178,Laguna Beach,Laguna Beach city,06,059,00277294,06059,Orange
58,1,57,58,06,36770,02410116,0636770,Irvine,Irvine city,06,059,00277294,06059,Orange
59,1,58,59,06,11754,02582965,0611754,Casmalia,Casmalia CDP,06,083,00277306,06083,Santa Barbara
60,1,59,60,06,17610,02410278,0617610,Cupertino,Cupertino city,06,085,00277307,06085,Santa Clara
61,1,60,61,06,17727,02582989,0617727,Cuyama,Cuyama CDP,06,083,00277306,06083,Santa Barbara
62,1,61,62,06,36000,02410811,0636000,Huntington Beach,Huntington Beach city,06,059,00277294,06059,Orange
63,1,62,63,06,29070,02583023,0629070,Garey,Garey CDP,06,083,00277306,06083,Santa Barbara
64,1,63,64,06,44168,02583064,0644168,Los Olivos,Los Olivos CDP,06,083,00277306,06083,Santa Barbara
65,1,64,65,06,29000,02410568,0629000,Garden Grove,Garden Grove city,06,059,00277294,06059,Orange
66,1,65,66,06,51028,02583090,0651028,New Cuyama,New Cuyama CDP,06,083,00277306,06083,Santa Barbara
67,1,66,67,06,10345,02409971,0610345,Campbell,Campbell city,06,085,00277307,06085,Santa Clara
68,1,67,68,06,28000,02410556,0628000,Fullerton,Fullerton city,06,059,00277294,06059,Orange
69,1,68,69,06,72086,02583144,0672086,Sisquoc,Sisquoc CDP,06,083,00277306,06083,Santa Barbara
70,1,69,70,06,83542,02412185,0683542,Wasco,Wasco city,06,029,02054176,06029,Kern
71,1,70,71,06,12594,02582973,0612594,Chalfant,Chalfant CDP,06,051,00277290,06051,Mono
72,1,71,72,06,25380,02410537,0625380,Fountain Valley,Fountain Valley city,06,059,00277294,06059,Orange
