ID,NAME,STATE_NAME,ST_ABBREV,TOTPOP_CY,POPDENS_CY,TOTHH_CY,TOTHU_CY,OWNER_CY,RENTER_CY,POPGRW10CY,HAI_CY,INCMORT_CY,TSPOP10_CY,TSHH10_CY,TSHU10_CY,MINORITYCY,DIVINDX_CY,MEDHINC_CY,PCI_CY,MEDVAL_CY,AVGVAL_CY,TOTPOP_FY,POPDENS_FY,TOTHH_FY,TOTHU_FY,POPGRWCYFY,POPGRW0010,AnnPopChange2010_2020,PercPopChange2010_2020,AnnHUChange2010_2020,PercHUChange2010_2020,AnnHHChange2010_2020,PercHHChange2010_2020,WHPWeightedPop,MIN_,MAX_,RANGE,MEAN,STD,SUM_,VARIETY,MAJORITY,MINORITY,MEDIAN,Shape__Area,Shape__Length
06001,Alameda County,California,CA,1632804,2209.4,584008,619166,313954,270054,0.76,71,33.1,1511779,545697,583211,1140428,82.6,105422,51055,834544,921150,1691848,2289.3,604031,638697,0.71,0.45,0.7730898187626067,20.751494742040187,0.6000367437655196,6.16500717579058,0.6808151279438901,7.020562693216199,0.7083280945600311,0,5,5,2.1366598469349096,1.787172642713893,56395.0,6,0,1,3,1930482129.28125,340950.56728748017
06003,Alpine County,California,CA,1109,1.5,473,1822,379,94,-0.56,88,26.6,1173,497,1760,409,59.4,57171,33048,363978,465765,1076,1.5,460,1864,-0.6,-0.28,-0.5594876186344355,-3.6363636363636362,0.3468098965624611,3.5227272727272725,-0.4937235347725166,-4.82897384305835,3.131147115612861,0,5,5,2.7481254260395365,1.366960944600209,72567.0,6,3,1,3,1924450845.314209,212424.5239380351
06005,Amador County,California,CA,40533,68.2,15617,19079,11468,4149,0.61,111,21.5,38138,14588,18056,9667,46.2,59594,30799,306615,343048,41542,69.9,16028,19692,0.49,0.82,0.6109114660848736,13.264288879042976,0.552623503623284,5.665706690296854,0.6839361491477902,7.053742802303263,3.694771761416695,0,5,5,3.585327324257771,1.3679556365827223,77167.0,6,4,1,4,1569551061.7248535,274416.67326919065
06007,Butte County,California,CA,210520,128.6,82971,88341,47444,35527,-0.43,104,22.9,220180,87690,95922,62064,55.6,52796,30089,289482,347688,214621,131.1,84630,89036,0.39,0.8,-0.44764241283491435,-10.070682429473948,-0.8199304344797098,-7.903296428348034,-0.5516400339051208,-5.381457406773863,2.1433967529811566,0,5,5,3.12686905301314,1.7123276020762825,186327.0,6,5,1,4,4343448430.654297,399746.7531734074
06009,Calaveras County,California,CA,48292,47.3,19860,29159,14891,4969,0.57,109,21.6,45640,18912,27959,9790,42.1,60207,33901,311420,357340,49531,48.6,20323,29992,0.51,1.17,0.5664119858090455,9.485317786759182,0.42112888247511915,4.291998998533567,0.4903082702852446,5.012690355329949,3.839029201268587,0,5,5,4.004342398089345,1.2194851082433138,147544.0,6,5,1,4,2685512344.66626,281955.2417928361
06011,Colusa County,California,CA,22365,19.4,7339,8220,4328,3011,0.42,123,19.6,21471,7072,7902,15014,80.7,56140,24628,263966,328275,22667,19.7,7433,8466,0.27,1.31,0.40877370445295824,11.313591495823843,0.39532251697227405,4.024297646165528,0.3712802260231962,3.7754524886877827,0.5236914194804299,0,5,5,1.789833560443839,1.6537852510375652,73555.0,6,0,5,2,2995375084.7734375,292075.2530291285
06013,Contra Costa County,California,CA,1134866,1585.1,403349,421474,274111,129238,0.77,86,27.2,1050961,376061,400997,658939,79.9,104682,51140,682138,789378,1174254,1640.2,416543,434648,0.68,1.01,0.7710534103205768,20.92409668900266,0.49928373892043076,5.106521993930129,0.702967577114344,7.2562695945604565,1.2019769392503754,0,5,5,1.8618360805860805,1.70199180843727,48795.0,6,0,1,2,1911742832.6730957,312679.43596394197
06015,Del Norte County,California,CA,28497,28.3,10252,11590,6473,3779,-0.04,113,21.0,28613,9908,11190,11011,65.0,45519,22612,229049,273347,28770,28.6,10390,11776,0.19,0.39,-0.04061516410532873,-1.036639857015192,0.3518388551874363,3.5746201966041107,0.3418860705219906,3.471941865159467,1.8057467551175046,0,5,5,3.7681912970943974,1.304372554733692,135523.0,6,5,1,4,2625079854.899414,307798.3550170838
06017,El Dorado County,California,CA,196646,115.1,75594,93927,57999,17595,0.81,94,25.2,181169,70266,88213,45803,45.5,85527,45393,516413,562657,203883,119.4,78166,97596,0.73,1.49,0.8231177454451677,17.54503304501604,0.6296091619428346,6.477503315837802,0.733566257718965,7.582614635812485,3.0769885341271186,0,5,5,3.5995873820810433,1.4729210234743315,228563.0,6,4,1,4,4627401717.60376,356544.4248869754
06019,Fresno County,California,CA,1010344,169.6,312419,338718,169116,143303,0.81,103,22.6,932098,289917,316166,727505,85.5,53671,23303,290839,364562,1046754,175.7,323172,351387,0.71,1.54,0.8093394522587838,24.74839166766825,0.6913842078390298,7.132961798548863,0.750306402094969,7.761531748741882,0.9155550500437656,0,5,5,1.9059983142910657,1.7091168286990008,407045.0,6,0,1,2,15568902514.91211,868239.5937458818
